Execution Time : 80.4187 ms
Bellman-Ford Shortest Path Distances
Source: 0

0 -> 287 : 101
0 -> 288 : 78
0 -> 289 : 72
0 -> 290 : 73
0 -> 291 : 102
0 -> 292 : 81
0 -> 293 : INF
0 -> 294 : 78
0 -> 295 : 92
0 -> 296 : 75
0 -> 297 : 80
0 -> 298 : 80
0 -> 299 : 86
0 -> 300 : 72
0 -> 301 : INF
0 -> 302 : 97
0 -> 303 : 113
0 -> 304 : 92
0 -> 305 : 87
0 -> 306 : INF
0 -> 307 : 105
0 -> 308 : 98
0 -> 309 : 95
0 -> 310 : 74
0 -> 311 : 87
0 -> 312 : 86
0 -> 313 : 80
0 -> 314 : 62
0 -> 315 : 105
0 -> 316 : 89
0 -> 317 : 77
0 -> 318 : 100
0 -> 319 : 90
0 -> 320 : 82
0 -> 321 : 99
0 -> 322 : 90
0 -> 323 : 98
0 -> 324 : 84
0 -> 325 : 93
0 -> 326 : 76
0 -> 327 : 63
0 -> 328 : 71
0 -> 329 : 78
0 -> 330 : 94
0 -> 331 : 146
0 -> 332 : 88
0 -> 333 : 77
0 -> 334 : 96
0 -> 335 : 75
0 -> 336 : 76
0 -> 337 : 76
0 -> 338 : 80
0 -> 339 : 83
0 -> 340 : 72
0 -> 341 : 89
0 -> 342 : 97
0 -> 343 : 89
0 -> 344 : 90
0 -> 345 : 74
0 -> 346 : 72
0 -> 347 : 75
0 -> 348 : 90
0 -> 349 : 92
0 -> 350 : 83
0 -> 351 : 69
0 -> 352 : 61
0 -> 353 : 101
0 -> 354 : 92
0 -> 355 : 83
0 -> 356 : 78
0 -> 357 : 73
0 -> 358 : 92
0 -> 359 : 119
0 -> 360 : 83
0 -> 361 : 105
0 -> 362 : 84
0 -> 363 : 79
0 -> 364 : 73
0 -> 365 : 79
0 -> 366 : 86
0 -> 367 : INF
0 -> 368 : 96
0 -> 369 : 99
0 -> 370 : 83
0 -> 371 : 91
0 -> 372 : 104
0 -> 373 : 83
0 -> 374 : 81
0 -> 375 : 73
0 -> 376 : 86
0 -> 377 : 86
0 -> 378 : 102
0 -> 379 : 74
0 -> 380 : 77
0 -> 381 : 81
0 -> 382 : 100
0 -> 383 : 89
0 -> 384 : 90
0 -> 385 : 77
0 -> 386 : 91
0 -> 387 : 96
0 -> 388 : INF
0 -> 389 : 84
0 -> 390 : 78
0 -> 391 : 85
0 -> 392 : 90
0 -> 393 : 94
0 -> 394 : 96
0 -> 395 : 82
0 -> 396 : INF
0 -> 397 : 102
0 -> 398 : 89
0 -> 399 : 92
0 -> 400 : 101
0 -> 401 : INF
0 -> 402 : 76
0 -> 403 : 74
0 -> 404 : 86
0 -> 405 : 108
0 -> 406 : INF
0 -> 407 : 98
0 -> 408 : 103
0 -> 409 : 91
0 -> 410 : 89
0 -> 411 : 89
0 -> 412 : 99
0 -> 413 : 47
0 -> 414 : 111
0 -> 415 : 83
0 -> 416 : 75
0 -> 417 : 69
0 -> 418 : 84
0 -> 419 : 79
0 -> 420 : 108
0 -> 421 : 98
0 -> 422 : 90
0 -> 423 : 90
0 -> 424 : 86
0 -> 425 : 66
0 -> 426 : 81
0 -> 427 : 102
0 -> 428 : 67
0 -> 429 : 93
0 -> 430 : 72
0 -> 431 : 96
0 -> 432 : 104
0 -> 433 : INF
0 -> 434 : 95
0 -> 435 : 93
0 -> 436 : 94
0 -> 437 : 101
0 -> 438 : 99
0 -> 439 : 104
0 -> 440 : 100
0 -> 441 : 87
0 -> 442 : 80
0 -> 443 : 79
0 -> 444 : 69
0 -> 445 : 91
0 -> 446 : 100
0 -> 447 : 80
0 -> 448 : 97
0 -> 449 : 85
0 -> 450 : 95
0 -> 451 : 97
0 -> 452 : 98
0 -> 453 : 75
0 -> 454 : INF
0 -> 455 : 73
0 -> 456 : 65
0 -> 457 : 83
0 -> 458 : 68
0 -> 459 : 91
0 -> 460 : 99
0 -> 461 : 83
0 -> 462 : 72
0 -> 463 : 98
0 -> 464 : 73
0 -> 465 : 90
0 -> 466 : 62
0 -> 467 : 103
0 -> 468 : 108
0 -> 469 : 109
0 -> 470 : 94
0 -> 471 : 72
0 -> 472 : INF
0 -> 473 : INF
0 -> 474 : 81
0 -> 475 : 64
0 -> 476 : 85
0 -> 477 : 85
0 -> 478 : 107
0 -> 479 : 79
0 -> 480 : 73
0 -> 481 : 100
0 -> 482 : 71
0 -> 483 : 67
0 -> 484 : 102
0 -> 485 : 95
0 -> 486 : 70
0 -> 487 : 80
0 -> 488 : 81
0 -> 489 : 96
0 -> 490 : 80
0 -> 491 : 94
0 -> 492 : 88
0 -> 493 : 83
0 -> 494 : 110
0 -> 495 : 74
0 -> 496 : 91
0 -> 497 : 75
0 -> 498 : 105
0 -> 499 : 101
0 -> 500 : 71
0 -> 501 : 70
0 -> 502 : 98
0 -> 503 : 80
0 -> 504 : 30
0 -> 505 : 78
0 -> 506 : 96
0 -> 507 : 84
0 -> 508 : 61
0 -> 509 : 112
0 -> 510 : INF
0 -> 511 : 81
0 -> 512 : 76
0 -> 513 : 99
0 -> 514 : 82
0 -> 515 : 75
0 -> 516 : 104
0 -> 517 : 85
0 -> 518 : 79
0 -> 519 : 66
0 -> 520 : 83
0 -> 521 : 72
0 -> 522 : 93
0 -> 523 : 89
0 -> 524 : 98
0 -> 525 : 77
0 -> 526 : 86
0 -> 527 : 73
0 -> 528 : 84
0 -> 529 : INF
0 -> 530 : 56
0 -> 531 : 97
0 -> 532 : 100
0 -> 533 : 91
0 -> 534 : INF
0 -> 535 : 94
0 -> 536 : INF
0 -> 537 : 101
0 -> 538 : 78
0 -> 539 : 104
0 -> 540 : 77
0 -> 541 : 72
0 -> 542 : 87
0 -> 543 : 82
0 -> 544 : 71
0 -> 545 : 85
0 -> 546 : 97
0 -> 547 : 106
0 -> 548 : 95
0 -> 549 : 69
0 -> 550 : 84
0 -> 551 : 77
0 -> 552 : 87
0 -> 553 : 82
0 -> 554 : 101
0 -> 555 : 43
0 -> 556 : 125
0 -> 557 : 98
0 -> 558 : 85
0 -> 559 : 86
0 -> 560 : 102
0 -> 561 : 76
0 -> 562 : 73
0 -> 563 : 76
0 -> 564 : 86
0 -> 565 : 91
0 -> 566 : INF
0 -> 567 : 99
0 -> 568 : 68
0 -> 569 : 72
0 -> 570 : 95
0 -> 571 : 80
0 -> 572 : 92
0 -> 573 : 56
0 -> 574 : 86
0 -> 575 : 68
0 -> 576 : 98
0 -> 577 : INF
0 -> 578 : 88
0 -> 579 : 56
0 -> 580 : INF
0 -> 581 : 84
0 -> 582 : 93
0 -> 583 : INF
0 -> 584 : 88
0 -> 585 : 102
0 -> 586 : 65
0 -> 587 : 86
0 -> 588 : 91
0 -> 589 : 85
0 -> 590 : 100
0 -> 591 : 68
0 -> 592 : 85
0 -> 593 : 78
0 -> 594 : 88
0 -> 595 : 67
0 -> 596 : 95
0 -> 597 : 85
0 -> 598 : 71
0 -> 599 : 86
0 -> 600 : 21
0 -> 601 : 92
0 -> 602 : 82
0 -> 603 : 84
0 -> 604 : 73
0 -> 605 : 58
0 -> 606 : 74
0 -> 607 : 77
0 -> 608 : 92
0 -> 609 : 75
0 -> 610 : INF
0 -> 611 : 103
0 -> 612 : 84
0 -> 613 : 86
0 -> 614 : 83
0 -> 615 : 85
0 -> 616 : 73
0 -> 617 : 78
0 -> 618 : 87
0 -> 619 : 85
0 -> 620 : 79
0 -> 621 : 83
0 -> 622 : 90
0 -> 623 : 75
0 -> 624 : 82
0 -> 625 : 86
0 -> 626 : 81
0 -> 627 : 81
0 -> 628 : 106
0 -> 629 : 83
0 -> 630 : INF
0 -> 631 : 93
0 -> 632 : 87
0 -> 633 : 71
0 -> 634 : 81
0 -> 635 : 88
0 -> 636 : 80
0 -> 637 : 65
0 -> 638 : 87
0 -> 639 : 81
0 -> 640 : 87
0 -> 641 : 81
0 -> 642 : 86
0 -> 643 : 68
0 -> 644 : 82
0 -> 645 : 89
0 -> 646 : 98
0 -> 647 : 80
0 -> 648 : 95
0 -> 649 : 83
0 -> 650 : 83
0 -> 651 : 115
0 -> 652 : 90
0 -> 653 : 59
0 -> 654 : 87
0 -> 655 : 81
0 -> 656 : 94
0 -> 657 : 98
0 -> 658 : 75
0 -> 659 : 69
0 -> 660 : 81
0 -> 661 : 97
0 -> 662 : 99
0 -> 663 : INF
0 -> 664 : INF
0 -> 665 : 88
0 -> 666 : 72
0 -> 667 : 67
0 -> 668 : 70
0 -> 669 : 85
0 -> 670 : 93
0 -> 671 : 101
0 -> 672 : 79
0 -> 673 : 86
0 -> 674 : 91
