Algorithm: Prim's MST
MST edges:
0 26 169
26 1 123
1 24 31
24 94 55
94 55 4
24 21 61
55 75 99
1 96 113
21 90 124
96 35 156
96 50 165
26 88 186
88 91 65
88 36 70
94 99 199
35 16 221
16 67 115
16 71 133
50 30 224
88 74 226
1 23 231
23 72 234
72 29 225
29 41 187
41 53 138
53 56 6
29 65 193
65 15 103
65 22 123
90 83 253
1 12 267
12 57 8
57 7 37
7 18 151
57 69 188
69 82 50
82 6 73
6 8 181
8 10 121
8 76 151
6 27 200
27 47 97
27 28 183
27 61 189
18 20 251
20 45 71
20 37 97
45 81 183
20 58 215
37 70 235
70 59 73
59 13 81
70 77 128
13 39 189
39 98 241
16 87 283
69 60 295
60 11 289
28 40 296
40 43 161
43 2 24
2 93 51
2 66 89
11 9 297
20 51 306
18 49 377
82 85 386
85 64 160
64 80 131
82 97 426
26 79 452
79 17 68
17 31 64
31 86 160
17 14 445
14 42 51
42 19 18
42 68 154
68 92 20
92 38 105
68 73 422
97 32 457
0 3 461
18 25 473
2 33 478
33 62 22
31 63 501
23 54 522
16 4 550
45 84 550
40 34 693
34 78 556
78 89 483
3 5 710
5 95 532
95 46 262
40 48 812
33 44 894
34 52 935
Total MST weight: 23313
Execution time: 0.590313 ms
