Algorithm: Greedy Vertex Coloring
Vertex colors:
0 0
1 1
2 0
3 2
4 1
5 0
6 2
7 1
8 0
9 2
10 0
11 2
12 1
13 0
14 2
15 1
16 2
17 0
18 1
19 2
20 0
21 1
22 0
23 1
24 0
25 2
26 1
27 0
28 1
29 0
30 2
31 1
32 2
33 0
34 1
35 2
36 0
37 1
38 0
39 1
40 0
41 1
42 2
43 0
44 1
45 0
46 1
47 2
48 0
49 1
50 0
51 1
52 0
53 2
54 1
55 0
56 2
57 1
58 0
59 1
60 0
61 1
62 0
63 1
64 0
65 1
66 0
67 2
68 1
69 0
70 1
71 0
72 1
73 2
74 1
75 0
76 2
77 1
78 2
79 0
80 3
81 2
82 1
83 2
84 1
85 0
86 1
87 0
88 1
89 0
90 1
91 2
92 0
93 2
94 0
95 1
96 0
97 1
98 2
99 0
Colors used: 4
Valid coloring: true
Execution time: 0.6887 ms
