Algorithm: PageRank
Damping: 0.85
Vertex ranks:
0 0.004802
1 0.002520
2 0.013669
3 0.013120
4 0.003730
5 0.006615
6 0.005912
7 0.006396
8 0.006333
9 0.007787
10 0.011239
11 0.008640
12 0.008793
13 0.005564
14 0.014684
15 0.016772
16 0.007232
17 0.012388
18 0.005571
19 0.006988
20 0.013901
21 0.014932
22 0.009961
23 0.014229
24 0.013595
25 0.010083
26 0.011632
27 0.013451
28 0.007036
29 0.004562
30 0.015164
31 0.005797
32 0.010641
33 0.012107
34 0.015462
35 0.009193
36 0.005861
37 0.003963
38 0.003624
39 0.005780
40 0.010154
41 0.008316
42 0.003267
43 0.016186
44 0.013668
45 0.007308
46 0.005373
47 0.003662
48 0.004612
49 0.006300
50 0.027836
51 0.040849
52 0.039365
53 0.015756
54 0.010597
55 0.006587
56 0.004861
57 0.004690
58 0.007452
59 0.009090
60 0.010426
61 0.012851
62 0.010595
63 0.008022
64 0.003773
65 0.005175
66 0.011826
67 0.009148
68 0.015757
69 0.022818
70 0.021695
71 0.007647
72 0.008513
73 0.003309
74 0.021969
75 0.010662
76 0.008630
77 0.008719
78 0.003970
79 0.023837
80 0.008253
81 0.005510
82 0.012871
83 0.019811
84 0.007114
85 0.006582
86 0.015557
87 0.010617
88 0.003756
89 0.009528
90 0.004761
91 0.007540
92 0.007613
93 0.005459
94 0.006296
95 0.002838
96 0.002706
97 0.005045
98 0.009602
99 0.003540
Sum of ranks: 1.000000
Iterations: 16
Converged: true
Execution time: 0.1688 ms
